Title,Description,Duration in timestamp,Video url
Heart of Midlothian 3-0 Falkirk | HIGHLIGHTS | William Hill Premiership,"League leaders Hearts put on a terrific Tynecastle display as they put Falkirk to the sword - results elsewhere means that the William Hill Premiership title race goes to the final day as a titanic encounter at Celtic Park awaits.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",06:25,https://www.youtube.com/watch?v=g373M-2w_40
Motherwell 1-1 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"Heart of Midlothian were held to a draw with Motherwell in a breathless Fir Park encounter. Stephen Kingsley's own goal put the Steelmen ahead only for Lawrence Shankland to equalise before the break.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",05:21,https://www.youtube.com/watch?v=H492sYH1GH8
Heart of Midlothian 2-1 Rangers | HIGHLIGHTS | William Hill Premiership,"A stunning second-half comeback saw Hearts make a statement of intent as Lawrence Shankland's winner sends the league leaders seven points clear of Rangers and three points clear of Celtic with just three games remaining in the William Hill Premiership.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",04:40,https://www.youtube.com/watch?v=neLQfKfXeeg
Hibernian 1-2 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"Blair Spittal was the Edinburgh Derby hero for Heart of Midlothian against nine-man Hibernian at Easter Road. Martin Boyle fired the hosts into the lead on his final derby appearance for Hibs but goalkeeper Raphael Sallinger soon saw red for handling the ball outside the box. Hibernian were under further pressure early in the second half when Felix Passlack recieved a second yellow for a high challenge bringing the home side down to nine men. Lawrence Shankland forced the ball home to bring Hearts level and it was Spittal who netted the winner minutes from time to ensure Derek McInnes' men maintained their three points lead at the top of the William Hill Premiership with four games to go.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",06:46,https://www.youtube.com/watch?v=sJ-T11k9zmM
Heart of Midlothian 3-1 Motherwell | HIGHLIGHTS | William Hill Premiership,"Two late goals at Tynecastle kept Hearts in control of the title race. Emmanuel Longelo scored shortly after half-time to put the visitors ahead before Claudio Braga pulled one back. VAR awarded a penalty in the 88th minute which Lawrence Shankland duly slotted home before Pierre Landy Kabore made no doubt in stoppage time.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",06:33,https://www.youtube.com/watch?v=phNr4HZfBh4
Livingston 2-2 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"Hearts saw their lead at the top of the William Hill Premiership Table cut to just one point as they were held to a draw in West Lothian. The hosts took the lead early on through Stevie May but were pegged back by Lawrence Shankland who got his first goal since January. The league leaders went ahead through Claudio Braga in the second half but Lewis Smith's equaliser proved clinical as the match finished level.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",06:02,https://www.youtube.com/watch?v=-uJcerPFU_g
Kilmarnock 1-0 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"Upset at Rugby Park as eleventh place Kilmarnock stunned the league leaders Heart of Midlothian. An early goal from Schjonning-Larsen was enough to separate the two sides, dealing a heavy blow to Hearts title challenge and inspiring hope for Killie who look to avoid the relegation play offs.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",04:12,https://www.youtube.com/watch?v=nPWDcXZ7m-c
Heart of Midlothian 1-0 Aberdeen | HIGHLIGHTS | William Hill Premiership,"Claudio Braga’s 12th league goal of the season saw Heart of Midlothian edge out Aberdeen and stretch their lead at the top of the William Hill Premiership table. Pierre Landry Kabore set up Braga just before the half hour mark and that strike proved to be enough to defeat the Dons at Tynecastle.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",04:29,https://www.youtube.com/watch?v=LHRxQLw6mJQ
Heart of Midlothian 1-0 Falkirk | HIGHLIGHTS | William Hill Premiership,"Heart of Midlothian responded to last week's defeat by defeating Falkirk 1-0 at Tynecastle. January signing Islam Chesnokov scored his first goal for the club to give Derek McInnes' men all three points, becoming the first Kazakh scorer in Scotland's top flight.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",04:33,https://www.youtube.com/watch?v=kPaZOJlVNL4
Rangers 4-2 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"Youssef Chermiti was the hat-trick hero as Rangers beat league leaders Hearts at Ibrox. Marc Leonard and Claudio Braga scored for Hearts in a pulsating first half with four goals in the opening 40 minutes. Chermiti made it 2-2 before a second-half double completed his treble.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",05:54,https://www.youtube.com/watch?v=qxdW9gz66Vk
Heart of Midlothian 1-0 Hibernian | HIGHLIGHTS | William Hill Premiership,"A fiery Edinburgh derby under the lights saw the league leaders Hearts extend their gap at the top, after a late winner from super sub Tomas Magnusson.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",04:22,https://www.youtube.com/watch?v=amKKVLyc9_4
St. Mirren 1-0 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"St Mirren left it late to secure victory against ten-man Heart of Midlothian. Craig Halkett saw red for a last ditch challenge on Jacob Devaney as he looked to break into the box. Derek McInnes' men held out for a further 57 minutes before Miguel Freckleton found the late winner from a corner to give Saints their first win in 8 league games.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",05:52,https://www.youtube.com/watch?v=EijWwFOe-Pw
Dundee United 0-3 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"Top of the table Hearts show no signs of slowing down in the William Hill Premiership title race, putting 3 past a 9 man Dundee United. Pierre Landry Kabore scored twice while Alexandros Kyziridis netted from the spot for Derek McInnes' men at Tannadice.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",06:14,https://www.youtube.com/watch?v=q3asPqDJkuU
Heart of Midlothian 2-2 Celtic | HIGHLIGHTS | William Hill Premiership,"League leaders Hearts came back twice to earn a point at Tynecastle. Benjamin Nygren's superb free kick opened the scoring before Stuart Findlay headed home an equaliser. Yang got on the end of debutant Tomáš Čvančara's cross to restore Celtic's lead. Auston Trusty saw red for denying Landry Kabore's run on goal and Claudio Braga took advantage late on to secure a draw.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",05:50,https://www.youtube.com/watch?v=LyBRECzXGfw
Heart of Midlothian 2-0 St. Mirren | HIGHLIGHTS | William Hill Premiership,"A resilient Hearts won a second consecutive game while down to ten men. It was a nightmare start for the Jam Tarts as Beni Baningime was shown a red card in the opening 15 minutes. St. Mirren had two efforts ruled out before goals from Lawrence Shankland and Tomas Magnusson ensured the league leaders retained their six-point advantage at the top.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",06:09,https://www.youtube.com/watch?v=2mFDkw4VBC8
Dundee 0-1 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"An incredible stoppage-time save from substitute goalkeeper Craig Gordon ensured league leaders Hearts left Dens Park with all three points. Claudio Braga got the only goal of the game after a quickly-taken free-kick, while goalkeeper Alexander Schwolow was sent off for a challenge after an on-field monitor review. 43-year-old Gordon had to be at his best to deny the hosts.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",06:27,https://www.youtube.com/watch?v=rgnYXE5gM98
Heart of Midlothian 1-0 Livingston | HIGHLIGHTS | William Hill Premiership,"Craig Halkett's goal was the difference at Tynecastle as Hearts extended their lead at the top to six points.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",05:46,https://www.youtube.com/watch?v=LWY02yWtF04
Hibernian 3-2 Heart of Midlothian | HIGHLIGHTS | William Hill Premiership,"A Christmas Cracker in the capital saw Hibernian storm into a three-goal lead before their city rivals fought back and almost steal a point near the end.

Subscribe to the SPFL YouTube here!: http://goo.gl/jq3jXN
Like us on Facebook: http://www.facebook.com/spflofficial
Follow us on Twitter: https://twitter.com/spfl & https://twitter.com/spflnews

SCOTTISH PREMIERSHIP CONTENT AVAILABILITY INFORMATION - GOALS FROM SATURDAY'S MATCHES WILL BE AVAILABLE IN THE UK & IRELAND FROM 6PM ON SUNDAY. 
GOALS FROM ALL OTHER MATCHDAYS WILL BE AVAILABLE TO VIEW WORLDWIDE FROM MIDNIGHT AFTER THE MATCH.

The SPFL is the leading sporting competition in Scotland, covering the top 42 football teams in the country. Subscribe to the official SPFL YouTube channel to make sure you catch all the best bits from Scottish league football. Scottish football is famous for passionate and exciting matches featuring top teams like Celtic, Rangers, Aberdeen, Hearts, Hibs and Dundee United.

The top league is called the Scottish Premiership. Below the top level, there are a further three leagues -- the Scottish Championship, Scottish League 1 and Scottish League 2.",06:27,https://www.youtube.com/watch?v=wg8NNxOniJ4
